id,sentence,tag_1,tag_2,tag,etc
1,화장실은 어디에 있나요?,일상,"의문문, 존댓말",의문문,
2,신분증은 안 가져왔는데요.,은행/공공기관,"부정문, 존댓말","부정어강조, 축약",신분증 안* 가져왔슴다.
3,본인인데도 안 되나요?,은행/공공기관,"의문문, 존댓말","부정어강조, 의문문",본인인데도 안*되이까?
4,괜찮습니다.,일상,존댓말,강조,일 없*습니다.
5,안녕하세요?,인사,존댓말,,
6,이건 얼마예요?,소비,존댓말,"의문문, 이 역행동화",얼마예요 > 얼매예요
7,언제 한 번 놀러 오세요.,일상,존댓말,,
8,공연 보러 가자.,일상,,,보러 > 볼러
9,넌 좋아하는 게 뭐야?,일상,,"의문문, 하->해",좋아하 > 좋아해 / 뭐야 > 뭐이야
10,넌 쉬는 날이 언제야?,일상,,의문문,니 논 날 언제야?
11,신용카드 발급하려고 하는데요.,은행/공공기관,존댓말,,신용카드 > 시농카드
12,이제 괜찮아졌습니다.,일상,,축약,이제 괜찮아졌슴다.
13,많이 아프세요?,일상,존댓말,"의문문, 자음탈락, 축약",마이 아픔까?
14,몰랐어요.,일상,존댓말,강조,몰*랐슴다.
15,다시 말씀해 주실래요?,일상,존댓말,의문문,
16,예약 취소하려고요.,소비,존댓말,ㄹ첨가,취소하려 > 취소할라
17,어떻게 할까요?,일상,존댓말,"말토막억양, 의문문",어*떻게 할까요?
18,여기로 오시겠어요?,일상,존댓말,"의문문, 치조마찰음화(ㅅ)",여기로 오싀겠어요?
19,좋습니다.,일상,"감정 표현, 존댓말",축약,조씀다.
20,이게 끝이에요.,일상,존댓말,구개음화,이게 끄티에요.
21,죄송합니다.,일상,존댓말,,미안합니다.
22,사용하는 언어가 달라서 모르겠습니다.,일상,존댓말,어>오,온어가 달라서
23,물어본다는 게 깜빡했어요.,일상,존댓말,게>기,물어본다는 게 > 물어본다는 기
24,밥이나 먹자.,일상,,어>오,먹자 > 묵자
25,저 운전면허 있어요.,일상,존댓말,,
26,주민등록증 새로 발급받으려고요.,은행/공공기관,존댓말,,
27,아이스 아메리카노 하나 주세요.,소비,존댓말,,
28,우유 대신 두유로 바꿀 수 있나요?,소비,"의문문, 존댓말",의문문,3/6 추가
29,현금 결제도 되나요?,소비,"의문문, 존댓말",의문문,3/6 추가
30,이건 뭐예요?,소비,"의문문, 존댓말",의문문,3/6 추가
31,제가 커피는 잘 못 마셔요.,일상,"부정문, 존댓말",부정어강조,3/6 추가
32,매운 음식은 잘 못 먹어요.,일상,"부정문, 존댓말",부정어강조,3/6 추가
33,커피 마시러 가실래요?,일상,"의문문, 존댓말",의문문,3/6 추가
34,실례합니다.,일상,존댓말,,3/6 추가
35,가까운 병원으로 가주세요.,일상,존댓말,,3/6 추가
36,천천히 말씀해 주세요.,일상,존댓말,,3/6 추가
37,어디 출신이세요?,일상,"의문문, 존댓말",의문문,3/6 추가
38,삼겹살 4인분 주세요.,소비,존댓말,,3/6 추가
39,소주 한 병 주세요.,소비,존댓말,,3/6 추가
40,몇시에 문 닫아요?,소비,존댓말,의문문,3/6 추가
41,여기서 먹고 갈게요.,소비,존댓말,,3/6 추가
42,테이크아웃이요.,소비,존댓말,,3/6 추가
43,포장해 주세요.,소비,존댓말,,3/6 추가
44,와이파이 비밀번호가 뭔가요?,일상,"의문문, 존댓말",의문문,3/6 추가
45,콘센트 어디에 있어요?,일상,"의문문, 존댓말",,3/6 추가
46,영수증은 버려 주세요.,소비,존댓말,,3/6 추가
47,봉투에 넣어 주세요.,소비,존댓말,,3/6 추가
48,적립은 안 해요.,소비,"부정문, 존댓말",,3/6 추가
49,이거 환불하려고요.,소비,존댓말,,3/6 추가
50,이거 교환하려고요.,소비,존댓말,,3/6 추가
51,일시불로 결제해주세요.,소비,존댓말,,3/6 추가
52,다 해서 얼마예요?,소비,"의문문, 존댓말",,3/6 추가
53,비밀번호를 재발급받고 싶어요.,은행/공공기관,존댓말,,3/6 추가
54,공인인증서 발급하고 싶어요.,은행/공공기관,존댓말,,3/6 추가
55,체크카드 만들으려고 하는데요.,은행/공공기관,존댓말,,3/6 추가
56,오이 알레르기 있어요.,일상,존댓말,,3/6 추가
57,근처에 약국은 어디에 있나요?,일상,"의문문, 존댓말",,3/6 추가
58,타이레놀 있나요?,소비,"의문문, 존댓말",,3/6 추가
59,여기서 세워 주세요.,일상,존댓말,,3/6 추가
60,맛있게 드세요.,일상,존댓말,,3/6 추가
61,새해 복 많이 받으세요!,인사,존댓말,,3/6 추가
62,즐거운 추석 보내세요.,인사,존댓말,,3/6 추가
63,메리 크리스마스!,인사,,,3/6 추가
64,휴대폰 충전해 주세요.,일상,존댓말,,3/6 추가
65,술은 잘 못 마셔요.,일상,"부정문, 존댓말",,3/6 추가
66,수돗물이 안 나와요.,일상,"부정문, 존댓말",,3/6 추가
67,따뜻한 물이 안 나와요.,일상,"부정문, 존댓말",,3/6 추가
68,옆집이 너무 시끄러워요.,일상,존댓말,,3/6 추가
69,변기가 막혔어요.,일상,존댓말,,3/6 추가
70,보일러가 고장났어요.,일상,존댓말,,3/6 추가
71,지하철역에서 얼마나 걸려요?,일상,"의문문, 존댓말",,3/6 추가
72,이 버스는 어디로 가나요?,일상,"의문문, 존댓말",,3/6 추가
73,여기 와이파이 되나요?,일상,"의문문, 존댓말",,3/6 추가
74,먹고 싶은 음식이 있나요?,일상,"의문문, 존댓말",,3/6 추가
75,편안한 밤 되시길 바래요.,인사,존댓말,,3/6 추가
76,만나서 반갑습니다.,인사,존댓말,,3/6 추가
77,아무것도 아닙니다.,일상,존댓말,,3/6 추가
78,감사합니다.,일상,존댓말,,3/6 추가
79,나중에 봬요.,인사,존댓말,,3/6 추가
80,조금만 깎아주세요.,소비,존댓말,,3/6 추가
81,메세지 남겨 드릴까요?,회사,"의문문, 존댓말",,3/6 추가
82,여기에서 1km 정도 떨어져 있어요.,일상,존댓말,,3/6 추가
83,휴대폰을 잠시 빌릴 수 있을까요?,일상,"의문문, 존댓말",,3/6 추가
84,MBTI가 뭐예요?,일상,"의문문, 존댓말",,3/6 추가
85,진통제 주세요.,소비,존댓말,,3/6 추가
86,해열제 주세요.,소비,존댓말,,3/6 추가
87,지금 몇 시에요?,일상,"의문문, 존댓말",,3/6 추가
88,추천하는 메뉴가 있나요?,소비,"의문문, 존댓말",,3/6 추가
89,버스를 놓쳐서 늦었어요.,일상,존댓말,,3/6 추가
90,거기서 거기에요.,일상,"감정 표현, 존댓말",,3/6 추가
91,지금 집에 가야 해서요.,일상,존댓말,,3/6 추가
92,노래 추천해주세요.,일상,존댓말,,3/6 추가
93,뜨거우니까 조심하세요.,일상,존댓말,,3/6 추가
94,영수증 드릴까요?,소비,"의문문, 존댓말",,3/6 추가
95,내일까지 해볼게요.,회사,존댓말,,3/6 추가
96,내일로 미룰 수 있을까요?,회사,존댓말,,3/6 추가
97,이따가 미팅 있어요.,회사,존댓말,,3/6 추가
98,조금만 더 주세요.,일상,존댓말,,3/6 추가
99,아무거나 다 좋아.,일상,"감정 표현, 존댓말",,3/6 추가
100,저는 상관 없어요.,일상,"감정 표현, 존댓말",,3/6 추가
101,그거 좋은 것 같아.,일상,감정 표현,,3/6 추가
102,그건 좀 별로야.,일상,감정 표현,,3/6 추가
103,마음에 안 들어.,일상,"감정 표현, 부정문",,3/6 추가
